Timestamp,SLO,Batch Size,Images Number,Canvas efficiency,Remaining/Over time,QoS,QoS per frame,QoS per image,Cost(CNY)
1685535134,Yes,3,12,0.5991,0.0874,0.1913,0.0638,0.0159,0.000460995
1685535134,Yes,3,9,0.5337,0.1088,0.1904,0.0635,0.0212,0.000458893
1685535135,Yes,3,14,0.7602,0.0985,0.1862,0.0621,0.0133,0.000448774
1685535135,Yes,3,11,0.6114,0.1042,0.192,0.064,0.0175,0.000462767
1685535135,Yes,3,7,0.5976,0.1569,0.1768,0.0589,0.0253,0.000426142
1685535135,Yes,3,7,0.6043,0.051,0.2814,0.0938,0.0402,0.000677824
1685535135,Yes,3,9,0.7043,0.1305,0.1904,0.0635,0.0212,0.000458929
1685535136,Yes,3,8,0.6179,0.1525,0.1952,0.0651,0.0244,0.000470376
1685535136,Yes,3,9,0.5915,0.152,0.1807,0.0602,0.0201,0.00043566
1685535136,Yes,3,10,0.5423,0.1473,0.1741,0.058,0.0174,0.000419661
1685535136,Yes,3,11,0.5938,0.1258,0.1695,0.0565,0.0154,0.000408541
1685535136,Yes,3,15,0.5207,0.1714,0.171,0.057,0.0114,0.000412158
1685535136,Yes,3,10,0.5712,0.0846,0.2416,0.0805,0.0242,0.000581906
1685535137,Yes,3,14,0.8103,0.1071,0.1775,0.0592,0.0127,0.00042789
1685535137,Yes,3,13,0.6284,0.1157,0.179,0.0597,0.0138,0.000431428
1685535137,Yes,3,11,0.5574,0.131,0.1809,0.0603,0.0164,0.000435992
1685535137,Yes,3,11,0.6478,0.1186,0.1809,0.0603,0.0164,0.000435971
1685535137,Yes,3,11,0.5526,0.1219,0.1758,0.0586,0.016,0.000423718
1685535138,Yes,3,9,0.5241,0.2008,0.1707,0.0569,0.019,0.00041143
1685535138,Yes,3,10,0.5417,0.1985,0.1715,0.0572,0.0171,0.000413315
1685535138,Yes,3,9,0.5737,0.179,0.1832,0.0611,0.0204,0.000441535
1685535138,Yes,3,9,0.6222,0.1745,0.1755,0.0585,0.0195,0.000423018
1685535138,Yes,3,9,0.5663,0.1562,0.1809,0.0603,0.0201,0.000436149
1685535138,Yes,3,10,0.5972,0.1666,0.1766,0.0589,0.0177,0.000425777
1685535139,Yes,3,13,0.6449,0.1307,0.188,0.0627,0.0145,0.000453211
1685535139,Yes,3,13,0.648,0.0682,0.2195,0.0732,0.0169,0.000528801
1685535139,Yes,3,10,0.5254,0.134,0.1741,0.058,0.0174,0.00041956
1685535139,Yes,3,11,0.7635,0.1145,0.1822,0.0607,0.0166,0.000439248
1685535139,Yes,3,13,0.6343,0.1463,0.1899,0.0633,0.0146,0.000457645
1685535140,Yes,3,9,0.6108,0.132,0.1889,0.063,0.021,0.000455245
1685535140,Yes,3,8,0.6014,0.1201,0.1849,0.0616,0.0231,0.000445756
1685535140,Yes,3,8,0.733,0.1178,0.1781,0.0594,0.0223,0.000429208
1685535140,Yes,3,7,0.4566,0.1776,0.1779,0.0593,0.0254,0.000428886
1685535140,Yes,3,11,0.5745,0.1151,0.1784,0.0595,0.0162,0.00042992
1685535140,Yes,3,11,0.6428,0.126,0.1722,0.0574,0.0157,0.000415046
1685535141,Yes,3,10,0.4645,0.2047,0.1693,0.0564,0.0169,0.000408032
1685535141,Yes,3,12,0.7695,0.1163,0.1819,0.0606,0.0152,0.000438378
1685535141,No,3,11,0.7293,-0.0916,0.3806,0.1269,0.0346,0.000916276
1685535141,Yes,3,9,0.5611,0.0668,0.2322,0.0774,0.0258,0.000559428
1685535142,Yes,3,14,0.7604,0.1095,0.1886,0.0629,0.0135,0.000454596
1685535142,Yes,3,10,0.7816,0.1145,0.1841,0.0614,0.0184,0.0004437
1685535142,Yes,3,14,0.7474,0.1176,0.1817,0.0606,0.013,0.000437964
1685535142,Yes,3,10,0.5669,0.1563,0.182,0.0607,0.0182,0.000438729
1685535142,Yes,3,10,0.5682,0.1517,0.1757,0.0586,0.0176,0.000423449
1685535142,Yes,3,9,0.5882,0.1542,0.1977,0.0659,0.022,0.000476479
1685535143,Yes,3,9,0.4807,0.2033,0.18,0.06,0.02,0.000433787
1685535143,Yes,3,10,0.4971,0.1867,0.1737,0.0579,0.0174,0.000418598
1685535143,Yes,3,10,0.527,0.1739,0.1778,0.0593,0.0178,0.000428581
1685535143,Yes,3,11,0.6821,0.1251,0.1858,0.0619,0.0169,0.000447906
1685535143,Yes,3,10,0.6191,0.1518,0.1808,0.0603,0.0181,0.000435812
1685535143,Yes,3,8,0.533,0.1835,0.1775,0.0592,0.0222,0.000427869
1685535144,Yes,3,8,0.5743,0.2014,0.1713,0.0571,0.0214,0.000412904
1685535144,Yes,3,8,0.5774,0.1995,0.1998,0.0666,0.025,0.00048158
1685535144,Yes,3,7,0.5182,0.1956,0.1738,0.0579,0.0248,0.000418998
1685535144,Yes,3,9,0.5141,0.1596,0.1782,0.0594,0.0198,0.000429653
1685535144,Yes,3,11,0.6226,0.1371,0.1742,0.0581,0.0158,0.000419873
1685535144,Yes,3,9,0.4857,0.1601,0.1801,0.06,0.02,0.000434006
1685535144,Yes,3,9,0.4986,0.1733,0.1778,0.0593,0.0198,0.000428573
1685535145,Yes,3,9,0.5248,0.1834,0.1694,0.0565,0.0188,0.000408491
1685535145,Yes,3,11,0.6709,0.1163,0.1769,0.059,0.0161,0.000426476
1685535145,Yes,3,9,0.6618,0.1273,0.1964,0.0655,0.0218,0.000473211
1685535145,Yes,3,9,0.7191,0.1264,0.1822,0.0607,0.0202,0.000439049
1685535145,Yes,4,7,0.4178,0.1395,0.2547,0.0637,0.0364,0.000613454
1685535145,Yes,3,8,0.5132,0.2053,0.1786,0.0595,0.0223,0.000430452
1685535145,Yes,3,10,0.645,0.178,0.1678,0.0559,0.0168,0.000404643
1685535146,Yes,3,10,0.5665,0.1626,0.1805,0.0602,0.018,0.000434973
1685535146,No,3,10,0.6491,-0.0688,0.3742,0.1247,0.0374,0.000900879
1685535146,Yes,3,10,0.6099,0.0974,0.2318,0.0773,0.0232,0.000558442
1685535146,Yes,3,8,0.6129,0.1706,0.1767,0.0589,0.0221,0.000425943
1685535146,Yes,3,7,0.5634,0.2004,0.1743,0.0581,0.0249,0.00042007
1685535146,Yes,3,8,0.5845,0.2103,0.1799,0.06,0.0225,0.000433698
1685535146,Yes,3,6,0.574,0.1962,0.169,0.0563,0.0282,0.000407471
1685535147,Yes,3,9,0.5846,0.1626,0.1819,0.0606,0.0202,0.000438424
1685535147,Yes,3,9,0.5189,0.1898,0.1811,0.0604,0.0201,0.000436514
1685535147,Yes,3,11,0.5453,0.0237,0.3118,0.1039,0.0283,0.000750922
1685535147,Yes,3,9,0.5126,0.175,0.1711,0.057,0.019,0.000412432
1685535147,Yes,3,8,0.5128,0.1886,0.181,0.0603,0.0226,0.000436367
1685535147,Yes,3,9,0.4797,0.2066,0.1696,0.0565,0.0188,0.000408823
1685535148,Yes,3,11,0.5403,0.1803,0.1762,0.0587,0.016,0.000424714
1685535148,Yes,3,13,0.6169,0.1305,0.1737,0.0579,0.0134,0.000418632
1685535148,Yes,3,12,0.6704,0.1244,0.1734,0.0578,0.0144,0.000417968
1685535148,Yes,3,12,0.5663,0.0589,0.2941,0.098,0.0245,0.000708153
1685535148,Yes,3,14,0.7188,0.1147,0.1798,0.0599,0.0128,0.00043327
1685535149,Yes,3,14,0.7205,0.1115,0.188,0.0626,0.0134,0.000452982
1685535149,Yes,3,14,0.5763,0.1184,0.1781,0.0594,0.0127,0.000429292
1685535149,Yes,3,10,0.538,0.1285,0.1766,0.0589,0.0177,0.000425753
1685535149,Yes,3,14,0.5972,0.1283,0.171,0.057,0.0122,0.000412298
1685535149,Yes,3,12,0.6341,0.1226,0.1767,0.0589,0.0147,0.000425935
1685535150,Yes,3,12,0.6802,0.1135,0.1854,0.0618,0.0155,0.000446958
1685535150,Yes,3,11,0.5596,0.1047,0.1844,0.0615,0.0168,0.000444375
1685535150,Yes,3,10,0.5763,0.1032,0.1946,0.0649,0.0195,0.000469077
1685535150,Yes,3,12,0.6696,0.1116,0.1846,0.0615,0.0154,0.000444844
1685535151,Yes,3,11,0.6236,0.0501,0.2573,0.0858,0.0234,0.000619724
1685535151,Yes,3,11,0.5621,0.1195,0.1785,0.0595,0.0162,0.000430288
1685535151,Yes,3,13,0.5294,0.1214,0.1796,0.0599,0.0138,0.000432977
1685535151,Yes,3,12,0.5487,0.1351,0.1734,0.0578,0.0145,0.000418096
1685535151,Yes,3,13,0.5987,0.1289,0.1703,0.0568,0.0131,0.000410583
1685535152,Yes,3,11,0.5499,0.1513,0.1793,0.0598,0.0163,0.000432145
1685535152,Yes,3,11,0.6791,0.09,0.2084,0.0695,0.0189,0.000502163
1685535152,Yes,3,17,0.6448,0.11,0.1791,0.0597,0.0105,0.000431813
1685535152,Yes,3,13,0.6967,0.1091,0.1891,0.063,0.0145,0.000455673
1685535153,Yes,3,13,0.7052,0.1218,0.1738,0.0579,0.0134,0.000418906
1685535153,Yes,3,12,0.4936,0.1742,0.1787,0.0596,0.0149,0.000430658
1685535153,Yes,3,16,0.6374,0.1266,0.1699,0.0566,0.0106,0.000409592
1685535153,Yes,3,17,0.6466,0.1174,0.1796,0.0599,0.0106,0.000432849
1685535153,Yes,3,13,0.7094,0.109,0.188,0.0627,0.0145,0.000453023
1685535154,Yes,3,11,0.663,0.1133,0.184,0.0613,0.0167,0.000443392
1685535154,Yes,3,18,0.7426,0.1148,0.1846,0.0615,0.0103,0.00044483
1685535154,Yes,3,15,0.6938,0.0644,0.2207,0.0736,0.0147,0.000531725
1685535154,Yes,3,17,0.4547,0.1287,0.1783,0.0594,0.0105,0.000429675
1685535155,Yes,3,14,0.6296,0.1159,0.1752,0.0584,0.0125,0.000422405
1685535155,Yes,3,16,0.5853,0.1291,0.1776,0.0592,0.0111,0.000428191
1685535155,Yes,2,4,0.4453,0.0792,0.1152,0.0576,0.0288,0.000278071