Timestamp,SLO,Batch Size,Images Number,Canvas efficiency,Remaining/Over time,QoS,QoS per frame,QoS per image
1684829493.401233,Yes,2,13,0.511,-0.1002,0.3321,0.1661,0.0255
1684829493.840929,Yes,2,7,0.4835,-0.1009,0.4151,0.2075,0.0593
1684829494.300999,No,2,8,0.6324,-0.1479,0.4852,0.2426,0.0607
1684829494.6583738,No,2,5,0.5577,-0.0809,0.6014,0.3007,0.1203
1684829494.948683,No,2,6,0.6019,-0.1599,0.6423,0.3211,0.107
1684829495.230919,No,3,7,0.6971,0.0195,1.0747,0.3582,0.1535
1684829495.400355,No,3,8,0.5517,-0.165,1.2011,0.4004,0.1501
1684829496.294579,No,3,9,0.5403,0.0218,1.4605,0.4868,0.1623
1684829496.502162,No,3,10,0.4847,0.0333,1.5593,0.5198,0.1559
1684829496.718156,No,3,10,0.4981,0.0433,1.6528,0.5509,0.1653
1684829496.9312398,No,3,11,0.5663,0.0486,1.7525,0.5842,0.1593
1684829497.14131,No,3,9,0.616,0.0119,1.8618,0.6206,0.2069
1684829497.367201,No,2,7,0.5714,-0.0249,2.3865,1.1933,0.3409
1684829498.184882,No,3,8,0.559,0.0581,2.1718,0.7239,0.2715
1684829497.9846778,No,3,8,0.5711,0.0544,2.3743,0.7914,0.2968
1684829498.403743,No,3,9,0.6312,0.0579,2.5724,0.8575,0.2858
1684829498.617858,No,3,8,0.6865,0.0586,2.3598,0.7866,0.295
1684829498.8254972,No,3,7,0.6415,0.0412,2.4649,0.8216,0.3521
1684829499.0327868,No,3,11,0.8012,0.0031,2.7635,0.9212,0.2512
1684829499.5745869,No,2,9,0.5236,-0.0944,2.9859,1.4929,0.3318
1684829499.8961642,No,3,9,0.5363,0.0488,2.6591,0.8864,0.2955
1684829500.6159732,No,2,4,0.5869,-0.0825,3.2883,1.6441,0.8221
1684829499.224704,No,3,9,0.5774,-0.1733,4.6753,1.5584,0.5195
1684829500.110822,No,3,10,0.6013,0.0025,3.7882,1.2627,0.3788
1684829500.962585,No,3,6,0.5871,0.0386,3.2425,1.0808,0.5404
1684829501.173527,No,3,7,0.6472,0.0287,3.5726,1.1909,0.5104
1684829501.755859,No,3,9,0.4979,-0.1397,4.2352,1.4117,0.4706
1684829501.3610072,No,3,7,0.5085,-0.1813,4.6309,1.5436,0.6616
1684829502.2487621,No,3,11,0.6711,0.0071,4.7997,1.5999,0.4363
1684829502.6795578,No,2,7,0.5315,-0.0012,4.3778,2.1889,0.6254
1684829502.4798121,No,3,9,0.5608,0.0202,4.5817,1.5272,0.5091
1684829503.7605078,No,3,9,0.5803,0.0316,4.7885,1.5962,0.5321
1684829504.0571258,No,2,14,0.6658,-0.0878,4.5002,2.2501,0.3214
1684829505.079921,No,2,6,0.5319,-0.0238,5.3653,2.6827,0.8942
1684829504.489894,No,2,8,0.5366,-0.0825,5.9556,2.9778,0.7445
1684829505.878311,No,2,5,0.4781,-0.1588,4.5685,2.2842,0.9137
1684829505.3805041,No,2,10,0.7386,-0.1136,6.2104,3.1052,0.621
1684829505.7147882,No,3,10,0.6524,0.0024,5.8588,1.9529,0.5859
1684829504.7590342,No,2,4,0.4955,-0.1338,6.8336,3.4168,1.7084
1684829506.80932,No,3,6,0.4753,0.0082,6.8413,2.2804,1.1402
1684829506.395987,No,2,5,0.5099,-0.0192,7.2695,3.6348,1.4539
1684829506.956458,No,3,7,0.4235,-0.1365,6.7057,2.2352,0.958
1684829507.899905,No,2,7,0.6113,-0.0127,7.8264,3.9132,1.1181
1684829508.1110451,No,2,6,0.5917,-0.0049,7.6054,3.8027,1.2676
1684829508.332745,No,3,5,0.4132,-0.1985,7.3905,2.4635,1.4781
1684829507.291479,No,2,5,0.4914,-0.0482,8.4446,4.2223,1.6889
1684829507.570632,No,2,6,0.5693,-0.1084,8.1633,4.0817,1.3606
1684829506.128612,No,3,7,0.5593,-0.1826,9.6031,3.201,1.3719
1684829508.778667,No,3,9,0.6866,0.0681,9.1438,3.0479,1.016
1684829510.280532,No,3,7,0.5478,-0.1667,7.6471,2.549,1.0924
1684829508.570803,No,3,7,0.63,0.0249,9.3537,3.1179,1.3362
1684829509.9043572,No,2,8,0.5846,-0.0319,8.0275,4.0137,1.0034
1684829510.111001,No,3,5,0.5711,0.0121,7.8164,2.6055,1.5633
1684829510.530692,No,3,8,0.5458,-0.2023,9.2477,3.0826,1.156
1684829508.989391,No,3,10,0.7619,0.0085,10.7827,3.5942,1.0783
1684829509.661045,No,3,9,0.6745,0.0617,10.1174,3.3725,1.1242
1684829509.234229,No,3,8,0.6455,0.0231,10.5459,3.5153,1.3182
1684829511.144106,No,3,7,0.4989,-0.1728,8.6347,2.8782,1.2335
1684829509.4433239,No,3,10,0.681,0.0362,10.3313,3.4438,1.0331
1684829513.621498,No,2,8,0.555,-0.0441,8.5451,4.2725,1.0681
1684829513.181598,No,2,8,0.4624,-0.0274,8.9945,4.4972,1.1243
1684829512.716196,No,3,10,0.5039,0.0305,9.4449,3.1483,0.9445
1684829512.510378,No,3,12,0.7167,0.0075,12.636,4.212,1.053
1684829512.930454,No,3,12,0.6512,0.0135,12.2105,4.0702,1.0175
1684829511.618756,No,3,11,0.5684,-0.1923,13.518,4.506,1.2289
1684829514.2293901,No,2,8,0.4709,-0.019,10.9242,5.4621,1.3655
1684829515.5050938,No,2,7,0.5004,-0.0441,9.6477,4.8238,1.3782
1684829514.6495738,No,2,7,0.5014,-0.025,10.504,5.252,1.5006
1684829515.8011289,No,2,7,0.6147,-0.1269,10.3877,5.1939,1.484
1684829515.256634,No,3,10,0.6138,0.0698,10.9454,3.6485,1.0945
1684829516.214216,No,2,9,0.5214,-0.1154,11.1196,5.5598,1.2355
1684829517.3993049,No,2,8,0.529,-0.0371,9.9366,4.9683,1.2421
1684829518.169306,No,2,8,0.5633,-0.1567,11.9335,5.9668,1.4917
1684829516.520446,No,3,8,0.6462,0.0062,13.5805,4.5268,1.6976
1684829519.595847,No,2,14,0.5088,-0.0802,10.5063,5.2532,0.7505
1684829516.947924,No,3,14,0.5726,-0.2143,13.1576,4.3859,0.9398
1684829518.482621,No,2,5,0.545,-0.0384,11.6313,5.8156,2.3263
1684829522.265716,No,1,2,0.7013,0.3673,9.9161,9.9161,4.958
1684829520.378907,No,3,10,0.451,0.0463,11.7981,3.9327,1.1798
1684829521.497758,No,2,8,0.4786,-0.0692,10.6874,5.3437,1.3359
1684829520.798965,No,3,12,0.4671,0.031,11.3785,3.7928,0.9482
1684829521.092159,No,2,15,0.5394,-0.0836,11.0888,5.5444,0.7393
1684829519.9569259,No,3,8,0.4841,0.043,12.2212,4.0737,1.5277
1684829520.165805,No,3,12,0.6762,0.0387,12.6186,4.2062,1.0515
1684829520.587351,No,3,12,0.5674,0.0501,12.2139,4.0713,1.0178
